Year,Series,Measure,Sector,Geopolitical Zone,State,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,North East,,Percentage (%),NGNEZ05,12.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,North West,,Percentage (%),NGNWZ04,28.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,South East,,Percentage (%),NGSEZ03,10.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,South South,,Percentage (%),NGSSZ02,14.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,South West,,Percentage (%),NGSWZ01,19.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Abia,Percentage (%),NGAB01,1.8
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Adamawa,Percentage (%),NGAD02,2.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Akwa Ibom,Percentage (%),NGAK03,3.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Anambra,Percentage (%),NGAN04,2.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Bauchi,Percentage (%),NGBA05,3.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Bayelsa,Percentage (%),NGBY06,1.4
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Benue,Percentage (%),NGBE07,3.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Borno,Percentage (%),NGBO08,1.5
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Cross River,Percentage (%),NGXR09,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Delta,Percentage (%),NGDE10,2.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Ebonyi,Percentage (%),NGEB11,2.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Edo,Percentage (%),NGED12,1.9
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Ekiti,Percentage (%),NGEK13,1.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Enugu,Percentage (%),NGEN14,2.0
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Gombe,Percentage (%),NGGO15,1.7
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Imo,Percentage (%),NGIM16,2.1
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Jigawa,Percentage (%),NGJI17,3.2
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Kaduna,Percentage (%),NGKD18,5.1
