Year,Series,Gender,Sector,Discrimination,Education level,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,,Male,,Disability,,,,,,35-39,NG,3.6
2021,,Male,,Disability,,,,,,40-44,NG,1.9
2021,,Male,,Disability,,,,,,45-49,NG,2.5
2021,,Male,,Disability,None,,,,,,NG,4.3
2021,,Male,,Disability,Primary,,,,,,NG,3.1
2021,,Male,,Disability,Junior secondary,,,,,,NG,1.8
2021,,Male,,Disability,Senior secondary,,,,,,NG,1.8
2021,,Male,,Disability,Higher/tertiary,,,,,,NG,2.3
2021,,Male,,Disability,,Hausa,,,,,NG,3.8
2021,,Male,,Disability,,Igbo,,,,,NG,2.3
2021,,Male,,Disability,,Yoruba,,,,,NG,1.3
2021,,Male,,Disability,,Fulani,,,,,NG,3.3
2021,,Male,,Disability,,Kanuri,,,,,NG,0.5
2021,,Male,,Disability,,Ijaw,,,,,NG,2.9
2021,,Male,,Disability,,Tiv,,,,,NG,0.4
2021,,Male,,Disability,,Ibibio,,,,,NG,1.8
2021,,Male,,Disability,,Edo,,,,,NG,1.9
2021,,Male,,Disability,,Other ethnicity,,,,,NG,2.0
2021,,Male,,Disability,,,Poorest,,,,NG,3.6
2021,,Male,,Disability,,,Second,,,,NG,2.8
2021,,Male,,Disability,,,Middle,,,,NG,2.2
2021,,Male,,Disability,,,Fourth,,,,NG,1.8
2021,,Male,,Disability,,,Richest,,,,NG,2.1
2021,,Male,,Disability,,,,North  Central,,,NGNCZ06,1.7
2021,,Male,,Disability,,,,North East,,,NGNEZ05,1.3
2021,,Male,,Disability,,,,North West,,,NGNWZ04,4.5
2021,,Male,,Disability,,,,South East,,,NGSEZ03,2.8
