Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Gender,Units,GeoCode,Value
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,40-44,,,,,,Percentage (%),NG,4.9
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,45-49,,,,,,Percentage (%),NG,7.5
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North Central,,,,Percentage (%),NGNCZ06,2.8
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North East,,,,Percentage (%),NGNEZ05,2
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,North West,,,,Percentage (%),NGNWZ04,2.2
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South East,,,,Percentage (%),NGSEZ03,1.5
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South South,,,,Percentage (%),NGSSZ02,4.9
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,South West,,,,Percentage (%),NGSWZ01,2.8
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,None,,,,,Percentage (%),NG,5.1
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Primary,,,,,Percentage (%),NG,6.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Secondary,,,,,Percentage (%),NG,2.8
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,Higher,,,,,Percentage (%),NG,3.5
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Lowest,,,Percentage (%),NG,2.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Second,,,Percentage (%),NG,3.2
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Middle,,,Percentage (%),NG,2.9
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Fourth,,,Percentage (%),NG,2.4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,Highest,,,Percentage (%),NG,2.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Abia,,Percentage (%),NGAB01,2
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Adamawa,,Percentage (%),NGAD02,4.4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Akwa Ibom,,Percentage (%),NGAK03,8.6
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Anambra,,Percentage (%),NGAN04,1
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Bauchi,,Percentage (%),NGBA05,0.7
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Bayelsa,,Percentage (%),NGBY06,9.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Benue,,Percentage (%),NGBE07,4.7
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Borno,,Percentage (%),NGBO08,1.4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Cross River,,Percentage (%),NGXR09,11.2
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Delta,,Percentage (%),NGDE10,3.6
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ebonyi,,Percentage (%),NGEB11,1.9
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Edo,,Percentage (%),NGED12,1.7
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ekiti,,Percentage (%),NGEK13,4.4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Enugu,,Percentage (%),NGEN14,1.6
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Gombe,,Percentage (%),NGGO15,3.5
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Imo,,Percentage (%),NGIM16,1
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Jigawa,,Percentage (%),NGJI17,0.7
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kaduna,,Percentage (%),NGKD18,3.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kano,,Percentage (%),NGKN19,2.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Katsina,,Percentage (%),NGKT20,2.4
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kebbi,,Percentage (%),NGKE21,0.9
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kogi,,Percentage (%),NGKO22,0.5
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kwara,,Percentage (%),NGKW23,0.2
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Lagos,,Percentage (%),NGLA24,1.2
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Nasarawa,,Percentage (%),NGNA25,6.3
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Niger,,Percentage (%),NGNI26,1.7
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ogun,,Percentage (%),NGOG27,2.7
2024,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ondo,,Percentage (%),NGON28,13.1
